blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,Location 1,noticeDate
0411 032,715 N FREMONT AVE,UPTON,11,CENTRAL,"(39.297352225099999, -76.633165957100005)",02/15/2007
1643 045,626 N KENWOOD AVE,MCELDERRY PARK,13,SOUTHEASTERN,"(39.2984903145, -76.578271957499993)",09/24/2012
0338 012,1722 DIVISION ST,UPTON,11,CENTRAL,"(39.3045601683, -76.634182711799994)",12/16/2009
0072 061,901 MCKEAN AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.299130126000001, -76.646528911100006)",12/20/2010
3003 016,3030 W NORTH AVE,WALBROOK,7,SOUTHWESTERN,"(39.309302887000001, -76.668516469799997)",11/08/2004
0089 021,817 N CALHOUN ST,HARLEM PARK,9,WESTERN,"(39.298455154800003, -76.639819142299999)",02/04/2013
6277A041,12 S CONKLING ST,BALTIMORE HIGHLANDS,1,SOUTHEASTERN,"(39.291987717399998, -76.567721873099998)",12/12/2011
1639 037,612 N MONTFORD AVE,MCELDERRY PARK,13,SOUTHEASTERN,"(39.298239103599997, -76.583936959400006)",07/25/2013
2402 026,1824 ASHBURTON ST,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,"(39.3087295821, -76.662514140100001)",03/12/2009
5198 034,4606 CRADDOCK AVE,KENILWORTH PARK,4,NORTHERN,"(39.346672164499999, -76.601718590700003)",09/04/2012
0162 025,1947 PENROSE AVE,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2910266425, -76.648694115400005)",09/19/2005
6304 021,3810 CLAREMONT ST,HIGHLANDTOWN,2,SOUTHEASTERN,"(39.289738356900003, -76.564633227399995)",07/19/2013
0098 023,718 N GILMOR ST,HARLEM PARK,9,WESTERN,"(39.2970575748, -76.643136142200007)",06/22/2012
1878 035,2806 DILLON ST,CANTON,1,SOUTHEASTERN,"(39.281347056500003, -76.576340216099993)",08/16/2013
0534 007,13 W MOUNT VERNON PL,MOUNT VERNON,11,CENTRAL,"(39.297032319800003, -76.616728047899997)",09/13/2010
0778 027,1354 CARROLL ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.279193315400001, -76.635431413999996)",08/13/2013
0148 018,1816 W SARATOGA ST,FRANKLIN SQUARE,9,WESTERN,"(39.292195032800002, -76.645941671900005)",01/06/2012
0300C088,1536 N WOODYEAR ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3066385152, -76.641194697900005)",01/08/2008
0062 032,1035 N GILMOR ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3009091809, -76.642785549999999)",12/07/2004
0118 056,528 N PAYSON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2943752694, -76.649255374500001)",08/14/2012
0339 005,1708 DRUID HILL AVE,UPTON,11,CENTRAL,"(39.305190951699998, -76.632897429799996)",05/22/2007
2154 013,2306 W FAYETTE ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.289455707599998, -76.653237066900004)",07/26/2011
4620 079,3333 WOODLAND AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.343594387800003, -76.672550318000006)",06/19/2008
7483 040,2512 S PACA ST,MOUNT WINANS,10,SOUTHERN,"(39.262895688100002, -76.6457883928)",10/24/2007
2545 004,222 S AUGUSTA AVE,IRVINGTON,8,SOUTHWESTERN,"(39.281923857000002, -76.685038732099997)",04/07/2006
0148 048,1819 W MULBERRY ST,FRANKLIN SQUARE,9,WESTERN,"(39.2927563139, -76.646307937499998)",02/18/2011
2408 050,1409 N DUKELAND ST,NORTHWEST COMMUNITY ACTION,9,SOUTHWESTERN,"(39.304054876099997, -76.663434720500007)",04/08/2011
0017 046,1530 BAKER ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.306932340300001, -76.643161106500003)",12/27/2012
0469 014,829 EDMONDSON AVE,UPTON,11,CENTRAL,"(39.295902855100003, -76.6318919446)",10/24/2008
3445 050,804 RESERVOIR ST,RESERVOIR HILL,7,CENTRAL,"(39.312902846299998, -76.632185582800005)",03/20/2013
3937 003,2876 HARFORD ROAD,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.322908657200003, -76.588977468699994)",04/23/2010
0396 036,1331 DIVISION ST,UPTON,11,CENTRAL,"(39.301791511799998, -76.629989672199997)",06/24/2011
1590 014,927 N PATTERSON PARK AVE,MILTON-MONTFORD,13,EASTERN,"(39.301469166700002, -76.585043703400004)",02/07/2006
4552 104,3405 PATON AVE,ARLINGTON,5,NORTHWESTERN,"(39.3486833073, -76.677602166599996)",02/08/2012
